Rendering est
  INFO     Rendering texts in 10621 tiles...                                                                                                                                                                
         23726113 function calls (23592317 primitive calls) in 70.825 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.002    0.000    0.016    0.002 __init__.py:816(__init__)
        1    0.000    0.000    0.016    0.016 hmac.py:1(<module>)
     1099    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap>:169(__enter__)
        2    0.000    0.000    0.015    0.008 message.py:1(<module>)
    23995    0.015    0.000    0.015    0.000 {method 'lstrip' of 'str' objects}
    14122    0.015    0.000    0.015    0.000 GifImagePlugin.py:54(_accept)
        1    0.000    0.000    0.015    0.015 delegating_block_builder.py:1(<module>)
     1325    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      471    0.001    0.000    0.015    0.000 typing.py:1147(copy_with)
     1425    0.002    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       89    0.014    0.000    0.014    0.000 {method 'close' of '_io.BufferedRandom' objects}
    14122    0.014    0.000    0.014    0.000 PpmImagePlugin.py:45(_accept)
        8    0.000    0.000    0.014    0.002 actor.py:1340(_make_actor)
    36949    0.014    0.000    0.014    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.014    0.014 client_connect.py:1(<module>)
        1    0.000    0.000    0.014    0.014 logging.py:174(render_message)
     9456    0.010    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
    43160    0.014    0.000    0.014    0.000 {method 'items' of 'dict' objects}
        4    0.000    0.000    0.014    0.003 internal.py:10(_read_json)
       89    0.000    0.000    0.014    0.000 genericpath.py:16(exists)
   120627    0.013    0.000    0.013    0.000 {built-in method builtins.issubclass}
        5    0.000    0.000    0.013    0.003 re.py:242(finditer)
    13583    0.006    0.000    0.013    0.000 sre_parse.py:255(get)
        8    0.000    0.000    0.013    0.002 __init__.py:274(load)
        1    0.000    0.000    0.013    0.013 highlighter.py:20(__call__)
     5240    0.007    0.000    0.013    0.000 schema.py:129(<listcomp>)
        1    0.000    0.000    0.013    0.013 highlighter.py:67(highlight)
        1    0.000    0.000    0.013    0.013 cookiejar.py:1(<module>)
        4    0.000    0.000    0.013    0.003 text.py:556(highlight_regex)
       19    0.000    0.000    0.012    0.001 __init__.py:299(loads)
       19    0.000    0.000    0.012    0.001 decoder.py:332(decode)
        1    0.000    0.000    0.012    0.012 block_list.py:1(<module>)
        1    0.000    0.000    0.012    0.012 index_tricks.py:1(<module>)
        3    0.000    0.000    0.012    0.004 encoder.py:1(<module>)
       20    0.000    0.000    0.012    0.001 _make.py:1511(wrap)
       19    0.012    0.001    0.012    0.001 decoder.py:343(raw_decode)
        1    0.000    0.000    0.012    0.012 conda.py:1(<module>)
       38    0.001    0.000    0.012    0.000 dataclasses.py:529(_init_fn)
        1    0.000    0.000    0.012    0.012 PdfImagePlugin.py:1(<module>)
       66    0.004    0.000    0.012    0.000 enum.py:180(__new__)
        1    0.000    0.000    0.012    0.012 py3k.py:1(<module>)
        4    0.000    0.000    0.012    0.003 util.py:1(<module>)
     1090    0.002    0.000    0.011    0.000 typing.py:947(__init__)
      204    0.001    0.000    0.011    0.000 sre_compile.py:560(_compile_info)
    53078    0.009    0.000    0.011    0.000 {method 'add' of 'set' objects}
     1905    0.007    0.000    0.011    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
    64800    0.011    0.000    0.011    0.000 schema.py:58(<genexpr>)
        1    0.000    0.000    0.011    0.011 block.py:1(<module>)
        1    0.000    0.000    0.011    0.011 descriptor_pool.py:1(<module>)
        1    0.000    0.000    0.011    0.011 themes.py:1(<module>)
        1    0.000    0.000    0.011    0.011 PdfParser.py:1(<module>)
